# psi logA_t_0 f_t_0 tau_t_0 phi_t_0 logL logPrior
1.530902053392616535e+00 -2.078907906922946935e+01 2.143827378322936852e+02 3.739735529741845116e-03 4.396327478451812709e+00 3.869735553772260755e+04 0.000000000000000000e+00
2.048795409401453771e+00 -2.065848374729068837e+01 2.856896829437660585e+02 3.241719646286968931e-03 4.238638049870929514e+00 3.869737443877771875e+04 0.000000000000000000e+00
2.266328786100901826e-01 -2.090831239044887369e+01 2.684195911297742896e+02 5.011252843737123465e-03 1.000340492538106307e+00 3.869739893776230747e+04 0.000000000000000000e+00
4.005558621606942760e-01 -2.075536496230798988e+01 2.287504045122885827e+02 4.154341676269127266e-03 1.600044291766789417e+00 3.869743016339444875e+04 0.000000000000000000e+00
6.213811579530692519e-02 -2.061975454856932188e+01 2.111294957118852551e+02 3.235374031085295424e-03 1.276706965992385534e+00 3.869744980126628798e+04 0.000000000000000000e+00
2.434627582709638638e+00 -2.082819387072026984e+01 2.678404810634950195e+02 6.520689405434830326e-03 5.001533769154055342e+00 3.869745533872769738e+04 0.000000000000000000e+00
2.300644990679498125e+00 -2.046176884918369865e+01 2.325886203500751321e+02 2.334914470144379590e-03 6.086252919726340416e+00 3.869752339416110772e+04 0.000000000000000000e+00
2.614265786027638150e+00 -2.040200441496947548e+01 1.922078138756392605e+02 1.890541502606223490e-03 4.181988607799522195e-01 3.869753758556633693e+04 0.000000000000000000e+00
1.767386764690467515e+00 -2.111143807191021793e+01 2.572869425279461097e+02 1.338410151774844549e-02 4.063949578943344854e+00 3.869757698771174182e+04 0.000000000000000000e+00
2.103675740668167649e+00 -2.079062060038255311e+01 2.361260628033704450e+02 3.454019800013402759e-03 5.569577669039266432e+00 3.869759307184464706e+04 0.000000000000000000e+00
3.055990086274563922e+00 -2.084448354200393538e+01 2.500305079573084868e+02 1.210347188040973576e-02 6.811836336144840853e-01 3.869764746624083637e+04 0.000000000000000000e+00
2.898934524337233753e+00 -2.097153197547386938e+01 2.424167126226256528e+02 1.393116031871845240e-02 4.466450078480482810e-01 3.869764806555909308e+04 0.000000000000000000e+00
